,run,item,D1,D2,D3,D4
440,27,8,0.0,0.0,1.0,1.0
441,27,9,1.0,0.0,1.0,1.0
442,27,10,0.0,0.0,1.0,1.0
443,27,11,0.0,0.0,1.0,0.0
444,27,12,1.0,0.0,1.0,1.0
445,27,13,1.0,0.0,1.0,1.0
446,27,14,1.0,0.0,1.0,1.0
447,27,15,1.0,0.0,1.0,0.0
448,28,0,1.0,0.0,1.0,1.0
449,28,1,1.0,0.0,1.0,1.0
450,28,2,1.0,0.0,1.0,0.0
451,28,3,1.0,0.0,1.0,1.0
452,28,4,1.0,0.0,1.0,1.0
453,28,5,1.0,0.0,1.0,1.0
454,28,6,1.0,0.0,1.0,1.0
455,28,7,1.0,0.0,1.0,1.0
456,28,8,0.0,0.0,1.0,1.0
457,28,9,1.0,0.0,1.0,1.0
458,28,10,0.0,0.0,1.0,1.0
459,28,11,1.0,0.0,0.0,1.0
460,28,12,1.0,0.0,1.0,1.0
461,28,13,1.0,0.0,1.0,1.0
462,28,14,0.0,1.0,1.0,0.0
463,28,15,1.0,0.0,1.0,0.0
464,29,0,1.0,0.0,1.0,0.0
465,29,1,1.0,0.0,1.0,0.0
466,29,2,1.0,0.0,1.0,0.0
467,29,3,1.0,0.0,1.0,1.0
468,29,4,1.0,0.0,1.0,1.0
469,29,5,1.0,0.0,1.0,1.0
470,29,6,1.0,0.0,0.0,1.0
471,29,7,1.0,0.0,1.0,1.0
472,29,8,1.0,0.0,1.0,0.0
473,29,9,1.0,0.0,1.0,1.0
474,29,10,1.0,0.0,1.0,1.0
475,29,11,1.0,0.0,1.0,0.0
476,29,12,1.0,0.0,1.0,1.0
477,29,13,1.0,0.0,1.0,1.0
478,29,14,1.0,0.0,1.0,1.0
479,29,15,1.0,0.0,0.0,1.0
480,30,0,1.0,0.0,1.0,0.0
481,30,1,1.0,0.0,1.0,0.0
482,30,2,0.0,1.0,1.0,0.0
483,30,3,1.0,0.0,1.0,1.0
484,30,4,0.0,0.0,1.0,1.0
485,30,5,1.0,0.0,1.0,1.0
486,30,6,1.0,1.0,1.0,1.0
487,30,7,1.0,0.0,1.0,1.0
488,30,8,1.0,0.0,1.0,0.0
489,30,9,1.0,0.0,1.0,1.0
490,30,10,1.0,0.0,1.0,1.0
491,30,11,0.0,0.0,1.0,0.0
492,30,12,1.0,1.0,1.0,1.0
493,30,13,1.0,0.0,1.0,0.0
494,30,14,0.0,0.0,1.0,1.0
495,30,15,1.0,0.0,1.0,0.0
496,31,0,1.0,0.0,1.0,0.0
497,31,1,1.0,0.0,1.0,0.0
498,31,2,1.0,0.0,1.0,0.0
499,31,3,1.0,1.0,1.0,1.0
500,31,4,1.0,0.0,1.0,1.0
501,31,5,1.0,1.0,1.0,1.0
502,31,6,1.0,0.0,1.0,1.0
503,31,7,1.0,0.0,1.0,0.0
504,31,8,1.0,0.0,1.0,0.0
505,31,9,1.0,1.0,0.0,0.0
506,31,10,1.0,1.0,0.0,0.0
